tempo_us,angulo_deg,motor_percent
806323,-71.38,20
807212,-71.39,20
808101,-71.40,20
808990,-71.41,20
809879,-71.41,20
810768,-71.45,20
811657,-71.47,20
812546,-71.47,20
813435,-71.47,20
814324,-71.50,20
815213,-71.53,20
816102,-71.54,20
816991,-71.55,20
817880,-71.58,20
818769,-71.62,20
819658,-71.63,20
820547,-71.64,20
821436,-71.66,20
822325,-71.68,20
823214,-71.70,20
824103,-71.71,20
824992,-71.72,20
825881,-71.72,20
826770,-71.73,20
827659,-71.77,20
828548,-71.79,20
829437,-71.79,20
830326,-71.82,20
831215,-71.85,20
832104,-71.86,20
832993,-71.87,20
833882,-71.87,20
834771,-71.90,20
835660,-71.93,20
836549,-71.95,20
837438,-71.96,20
838327,-71.96,20
839216,-71.98,20
840105,-72.02,20
840994,-72.04,20
841883,-72.05,20
842772,-72.06,20
843661,-72.07,20
844550,-72.10,20
845439,-72.12,20
846328,-72.12,20
847217,-72.12,20
848106,-72.14,20
848995,-72.18,20
849884,-72.20,20
850773,-72.21,20
851662,-72.23,20
852551,-72.26,20
853440,-72.28,20
854329,-72.29,20
855218,-72.30,20
856107,-72.33,20
856996,-72.36,20
857885,-72.37,20
858774,-72.38,20
859663,-72.40,20
860552,-72.43,20
861441,-72.45,20
862330,-72.47,20
863219,-72.47,20
864108,-72.48,20
864997,-72.49,20
865886,-72.53,20
866775,-72.54,20
867664,-72.54,20
868553,-72.56,20
869442,-72.59,20
870331,-72.60,20
871220,-72.60,20
872109,-72.61,20
872998,-72.63,20
873887,-72.66,20
874776,-72.68,20
875665,-72.70,20
876554,-72.70,20
877443,-72.73,20
878332,-72.75,20
879221,-72.78,20
880110,-72.80,20
880999,-72.80,20
881888,-72.83,20
882777,-72.85,20
883666,-72.87,20
884555,-72.87,20
885444,-72.87,20
886333,-72.90,20
887222,-72.95,20
888111,-72.98,20
889000,-72.98,20
889889,-72.98,20
890778,-73.00,20
891667,-73.05,20
892556,-73.08,20
893445,-73.09,20
894334,-73.10,20
895223,-73.15,20
896112,-73.18,20
897001,-73.19,20
897890,-73.19,20
898779,-73.22,20
899668,-73.27,20
900557,-73.29,20
901446,-73.28,20
902335,-73.28,20
903224,-73.30,20
904113,-73.34,20
905002,-73.36,20
905891,-73.38,20
906780,-73.39,20
907669,-73.40,20
908558,-73.41,20
909447,-73.44,20
910336,-73.47,20
911225,-73.47,20
912114,-73.48,20
913003,-73.50,20
913892,-73.52,20
914781,-73.53,20
915670,-73.53,20
916559,-73.54,20
917448,-73.58,20
918337,-73.58,20
919226,-73.59,20
920115,-73.61,20
921004,-73.65,20
921893,-73.67,20
922782,-73.67,20
923671,-73.68,20
924560,-73.70,20
925449,-73.72,20
926338,-73.73,20
927227,-73.75,20
928116,-73.76,20
929005,-73.79,20
929894,-73.81,20
930783,-73.82,20
931672,-73.82,20
932561,-73.82,20
933450,-73.84,20
934339,-73.86,20
935228,-73.88,20
936117,-73.90,20
937006,-73.90,20
937895,-73.92,20
938784,-73.93,20
939673,-73.94,20
940562,-73.94,20
941451,-73.95,20
942340,-73.97,20
943229,-74.01,20
944118,-74.03,20
945007,-74.03,20
945896,-74.04,20
946785,-74.09,20
947674,-74.11,20
948563,-74.11,20
949452,-74.11,20
950341,-74.14,20
951230,-74.16,20
952119,-74.18,20
953008,-74.18,20
953897,-74.17,20
954786,-74.18,20
955675,-74.21,20
956564,-74.23,20
957453,-74.25,20
958342,-74.23,20
959231,-74.23,20
960120,-74.26,20
961009,-74.28,20
961898,-74.30,20
962787,-74.30,20
963676,-74.31,20
964565,-74.32,20
965454,-74.32,20
966343,-74.34,20
967232,-74.35,20
968121,-74.37,20
969010,-74.38,20
969899,-74.39,20
970788,-74.39,20
971677,-74.39,20
972566,-74.40,20
973455,-74.41,20
974344,-74.41,20
975233,-74.41,20
976122,-74.42,20
977011,-74.45,20
977900,-74.47,20
978789,-74.47,20
979678,-74.48,20
980567,-74.52,20
981456,-74.54,20
982345,-74.55,20
983234,-74.55,20
984123,-74.54,20
985012,-74.55,20
985901,-74.57,20
986790,-74.59,20
987679,-74.60,20
988568,-74.59,20
989457,-74.59,20
990346,-74.62,20
991235,-74.64,20
992124,-74.63,20
993013,-74.64,20
993902,-74.67,20
994791,-74.69,20
995680,-74.69,20
996569,-74.70,20
997458,-74.74,20
998347,-74.77,20
999236,-74.76,20
1000125,-74.76,20
1001014,-74.77,20
1001903,-74.81,20
1002792,-74.83,20
1003681,-74.83,20
1004570,-74.82,20
1005459,-74.84,20
1006348,-74.88,20
1007237,-74.90,20
1008126,-74.89,20
1009015,-74.89,20
1009904,-74.92,20
1010793,-74.95,20
1011682,-74.96,20
1012571,-74.96,20
1013460,-74.97,20
1014349,-75.00,20
1015238,-75.01,20
1016127,-75.01,20
1017016,-75.01,20
1017905,-75.01,20
1018794,-75.04,20
1019683,-75.04,20
1020572,-75.03,20
1021461,-75.01,20
1022350,-75.01,20
1023239,-75.02,20
1024128,-75.03,20
1025017,-75.04,20
1025906,-75.02,20
1026795,-75.01,20
1027684,-75.04,20
1028573,-75.05,20
1029462,-75.04,20
1030351,-75.04,20
1031240,-75.04,20
1032129,-75.07,20
1033018,-75.06,20
1033907,-75.06,20
1034796,-75.08,20
1035685,-75.09,20
1036574,-75.09,20
1037463,-75.08,20
1038352,-75.09,20
1039241,-75.11,20
1040130,-75.12,20
1041019,-75.11,20
1041908,-75.10,20
1042797,-75.10,20
1043686,-75.10,20
1044575,-75.10,20
1045464,-75.11,20
1046353,-75.10,20
1047242,-75.08,20
1048131,-75.09,20
1049020,-75.10,20
1049909,-75.09,20
1050798,-75.08,20
1051687,-75.07,20
1052576,-75.09,20
1053465,-75.10,20
1054354,-75.08,20
1055243,-75.07,20
1056132,-75.07,20
1057021,-75.09,20
1057910,-75.10,20
1058799,-75.09,20
1059688,-75.11,20
1060577,-75.12,20
1061466,-75.12,20
1062355,-75.11,20
1063244,-75.11,20
1064133,-75.14,20
1065022,-75.16,20
1065911,-75.17,20
1066800,-75.18,20
1067689,-75.18,20
1068578,-75.20,20
1069467,-75.22,20
1070356,-75.21,20
1071245,-75.20,20
1072134,-75.19,20
1073023,-75.19,20
1073912,-75.19,20
1074801,-75.18,20
1075690,-75.16,20
1076579,-75.16,20
1077468,-75.18,20
1078357,-75.20,20
1079246,-75.20,20
1080135,-75.18,20
1081024,-75.17,20
1081913,-75.19,20
1082802,-75.22,20
1083691,-75.23,20
1084580,-75.21,20
1085469,-75.21,20
1086358,-75.22,20
1087247,-75.23,20
1088136,-75.22,20
1089025,-75.20,20
1089914,-75.20,20
1090803,-75.22,20
1091692,-75.22,20
1092581,-75.19,20
1093470,-75.20,20
1094359,-75.22,20
1095248,-75.23,20
1096137,-75.22,20
1097026,-75.23,20
1097915,-75.25,20
1098804,-75.27,20
1099693,-75.25,20
1100582,-75.25,20
1101471,-75.26,20
1102360,-75.29,20
1103249,-75.29,20
1104138,-75.27,20
1105027,-75.25,20
1105916,-75.25,20
1106805,-75.26,20
1107694,-75.25,20
1108583,-75.24,20
1109472,-75.21,20
1110361,-75.20,20
1111250,-75.21,20
1112139,-75.20,20
1113028,-75.20,20
1113917,-75.18,20
1114806,-75.17,20
1115695,-75.19,20
1116584,-75.19,20
1117473,-75.17,20
1118362,-75.17,20
1119251,-75.18,20
1120140,-75.19,20
1121029,-75.18,20
1121918,-75.17,20
1122807,-75.19,20
1123696,-75.20,20
1124585,-75.18,20
1125474,-75.17,20
1126363,-75.18,20
1127252,-75.20,20
1128141,-75.20,20
1129030,-75.18,20
1129919,-75.18,20
1130808,-75.20,20
1131697,-75.22,20
1132586,-75.22,20
1133475,-75.21,20
1134364,-75.22,20
1135253,-75.25,20
1136142,-75.26,20
1137031,-75.24,20
1137920,-75.23,20
1138809,-75.24,20
1139698,-75.26,20
1140587,-75.27,20
1141476,-75.26,20
1142365,-75.24,20
1143254,-75.25,20
1144143,-75.28,20
1145032,-75.28,20
1145921,-75.27,20
1146810,-75.25,20
1147699,-75.28,20
1148588,-75.30,20
1149477,-75.30,20
1150366,-75.29,20
1151255,-75.28,20
1152144,-75.30,20
1153033,-75.31,20
1153922,-75.31,20
1154811,-75.30,20
1155700,-75.29,20
1156589,-75.30,20
1157478,-75.31,20
1158367,-75.29,20
1159256,-75.27,20
1160145,-75.27,20
1161034,-75.29,20
1161923,-75.30,20
1162812,-75.30,20
1163701,-75.30,20
1164590,-75.30,20
1165479,-75.31,20
1166368,-75.32,20
1167257,-75.31,20
1168146,-75.29,20
1169035,-75.31,20
1169924,-75.34,20
1170813,-75.33,20
1171702,-75.31,20
1172591,-75.30,20
1173480,-75.31,20
1174369,-75.34,20
1175258,-75.33,20
1176147,-75.31,20
1177036,-75.31,20
1177925,-75.32,20
1178814,-75.34,20
1179703,-75.32,20
1180592,-75.31,20
1181481,-75.33,20
1182370,-75.35,20
1183259,-75.34,20
1184148,-75.33,20
1185037,-75.33,20
1185926,-75.34,20
1186815,-75.34,20
1187704,-75.33,20
1188593,-75.31,20
1189482,-75.32,20
1190371,-75.31,20
1191260,-75.31,20
1192149,-75.30,20
1193038,-75.29,20
1193927,-75.27,20
1194816,-75.28,20
1195705,-75.28,20
1196594,-75.27,20
1197483,-75.25,20
1198372,-75.25,20
1199261,-75.27,20
1200150,-75.27,20
1201039,-75.24,20
1201928,-75.24,20
1202817,-75.25,20
1203706,-75.26,20
1204595,-75.25,20
1205484,-75.25,20
1206373,-75.26,20
1207262,-75.27,20
1208151,-75.26,20
1209040,-75.25,20
1209929,-75.25,20
1210818,-75.26,20
1211707,-75.25,20
1212596,-75.24,20
1213485,-75.21,20
